processed_paragraphs,summarized_paragraphs
" Risk response planning is based on the information placed in the risk register during execution of the  Identify Risks and Perform Analysis processes. The corresponding risk response information is often referred  to as the risk response plan, although it may in fact be an integral part of the risk register. ",risk response planning is based on the information placed in the risk register. the risk response information is often referred to as the risk response plan.
 The responserelated information for each risk is recorded in the risk register and updated regularly. Any  interested stakeholder should be able to rapidly access all the information required to verify their responsibilities  and manage the risk in accordance with the risk response plan. The set of residual risks and their priorities  are clearly identi ed and recorded. ,risk response related information is recorded in the risk register and updated regularly. any interested stakeholder should be able to quickly access all the information required to verify their responsibilities and manage the risk in accordance with the risk response plan.
" While developing the detailed set of risk responses, the projectrelated implications are evaluated for  inclusion in a modi ed project management plan. These include costs, resource assignments, scheduling  details, and changes to project documentation. Until these changes are formally approved along with the  additional risks that they may carry, risk response planning cannot be considered complete. ","risk responses are evaluated for inclusion in a modi ed project management plan. these include costs, resource assignments, scheduling details and changes to project documentation. risk response planning cannot be considered complete."
" Once the risk responses have been de ned and integrated into the project management plan, the individual  and overall residual risks related to this plan are evaluated in order to determine whether additional response  planning is required, as shown in Figure 82. This evaluation should provide an estimate of both the expected  postresponse situation and the potential improvement of the risk exposure assuming that the proposed  responses are effective. The evaluation should be documented.  51 2009 Project Management Institute. Practice Standard for Project Risk Management 9  CHAPTER 9   MONITOR AND CONTROL RISKS   The effectiveness of Project Risk Management depends upon the way the approved plans are carried out.  These plans should be executed correctly, reviewed, and updated regularly. If this is carried out correctly, the  invested effort will be rewarded and future projects will bene t from this projects experience. ",the individual and overall residual risks related to this plan are evaluated in order to determine whether additional response planning is required. the evaluation should provide an estimate of both the expected postresponse situation and the potential improvement of the risk exposure assuming that the proposed responses are effective.
" The primary objectives of risk monitoring and controlling are to track identi ed risks, monitor residual risks,  identify new risks, ensure that risk response plans are executed at the appropriate time, and evaluate their  effectiveness throughout the project life cycle.   In addition to tracking and managing the risk response actions, the effectiveness of all of the Project  Risk Management processes should be reviewed to provide improvements to the management of the current  project as well as future ones.   For each risk or set of risks for which a contingent response has been de ned, the corresponding set of  trigger conditions should have been speci ed. It is the responsibility of the action owner to ensure that these  conditions are effectively monitored and that the corresponding actions are carried out as de ned, in a timely  manner.   Once the Plan Risk Responses process is complete, all of the approved unconditional response actions  should have been included and de ned in the current project management plan. The  rst action of risk  monitoring and controlling is to check whether this is the case and take any appropriate action if necessary,  such as invoking the change management process with respect to any missing actions. This will then ensure  that the agreedupon actions are carried out within the normal project execution framework.   The risk owners and risk action owners need to be briefed on any changes that may affect their  responsibilities. Effective communication needs to be maintained between them and the project manager so  that the designated stakeholders accept accountability for controlling the potential outcomes of speci c risks,  apply their best efforts to track the associated trigger conditions and carry out the agreedupon responses in  a timely manner.   In addition to the response actions and trigger conditions, a mechanism for measuring the effectiveness  of the response is provided by the Plan Risk Responses process. The risk action owner should keep the risk  owner aware of the status of the response actions so that the risk owner can decide when the risk has been  effectively dealt with, or whether additional actions need to be planned and implemented.  52 2009 Project Management Institute. Practice Standard for Project Risk Management 9 CHAPTER 9  MONITOR AND CONTROL RISKS  As the project progresses, additional information becomes available and the project environment may  change as some risks occur, whether foreseen or unforeseen, and others become or cease to be relevant.  The planning should therefore be kept current and the project manager should ensure that periodic risk  reassessment, including risk identi cation, analysis, and response planning, is repeated at reasonable intervals,  or in response to project eventswithout generating excessive administrative overhead. Typical reasons for  risk reassessment are:   Occurrence of a major or unexpected risk,     Need to analyze a complex change request,     Phase end review,     Project replanning or major plan elaboration, and     Periodic review to ensure that the information remains current.     In the event of major organizational changes, risk management planning may need to be revisited prior to  reassessing the risks.   In addition to the regular status reviews, periodic audits should be performed to determine strengths and  weaknesses in handling risks within the project. This should entail identifying any barriers to effectiveness or  keys to success in risk management, recognition of which could lead to improvements in risk management of  the current or future projects.   At the end of the project, an integrated analysis of the risk management process should be carried out  with a focus on longterm process improvements. This analysis consolidates the  ndings of the periodic  audits to identify lessons that would be applicable in general to a large proportion of the organizations  projects in the future, such as appropriate levels of resources, adequate time for the analysis, use of tools,  level of detail, etc.   At project closure, the project manager should ensure that a description has been given of the closure of  every risk in the risk register, for example:  did not occur;  occurred and contingency plan invoked; or   occurred and impact to the project scope .   The output of the audit of the risk management process should be consolidated with speci c information  with respect to the projects experience of risks, and any generally applicable guidelines for the organization  should be highlighted and potential actions proposed for applying them. This can lead to an update to the  corresponding organizational process assets.   An overview of the steps involved in the Monitor and Control Risks process is given in Figure 91.    53 2009 Project Management Institute. Practice Standard for Project Risk Management 9 CHAPTER 9  MONITOR AND CONTROL RISKS  Figure 91. Schematic Representation of the Monitor and Control Risks Process ","risk monitoring and controlling is to track identi ed risks, monitor residual risks, identify new risks, and evaluate their effectiveness throughout the project life cycle. it is the responsibility of the action owner to ensure that these conditions are effectively monitored and that the corresponding actions are carried out as de ned."
 Critical success factors relate to maintaining risk awareness throughout the project and include the  characteristics and capabilities detailed in Sections 9.2.1 through 9.2.3. ,critical success factors relate to maintaining risk awareness throughout the project. critical success factors relate to maintaining risk awareness throughout the project. the characteristics and capabilities detailed in Sections 9.2.1 through 9.2.3.
" From the start, the project management plan should include the actions required to monitor and control  project risk. This should be set up early in the project planning cycle, and then adjusted in view of the risk  response planning decisions adding, for example, the actions associated with monitoring speci c conditions  or metrics. Once risk response planning has been carried out, the project schedule should include all of the  agreedupon, responserelated actions so that they can be carried out as a normal part of project execution  and tracked accordingly.  54 2009 Project Management Institute. Practice Standard for Project Risk Management 9 CHAPTER 9  MONITOR AND CONTROL RISKS","the project management plan should include the actions required to monitor and control project risk. this should be set up early in the project planning cycle. the project schedule should include all agreedupon, response related actions."
" Risk response planning will have de ned a set of actions to be carried out as part of the project schedule  as well as actions whose execution is dependent on a prede ned trigger condition. Checking for speci cally  de ned risks that may trigger conditional responses is the responsibility of the risk action owner, in close  collaboration with the risk owner under the overall authority of the project manager. ",risk response planning will have de ned a set of actions to be carried out as part of the project schedule as well as actions whose execution is dependent on a prede ned trigger condition. the risk action owner will check for speci cally de ned risks that may trigger conditional responses.
" Risk management reports should be a regular item on every status meeting agenda to ensure that all team  members remain aware of the importance of risk management and to ensure that it is fully integrated into all  of the project management decisions.   The projects seniorlevel sponsor should require regular reports on the risks and the planned responses  to ensure that stakeholders are aware of the importance of keeping a focus on risk. Sponsor feedback also  motivates the project team by demonstrating seniorlevel interest in Project Risk Management.   Stakeholders perception of the effectiveness of risk management is conditioned in part by the way in  which risks are handled as they occur, and by the number or characteristics of such events. It is therefore  crucial, whenever a risk occurs, that information about the event, as well as the progress and effectiveness of  the responses, be communicated at regular intervals and in an honest manner adapted to the needs of each  stakeholder. This should be supported by a wellexecuted communications plan. ",risk management reports should be a regular item on every status meeting agenda. the projects seniorlevel sponsor should require regular reports on risks and planned responses to ensure that stakeholders are aware of the importance of keeping a focus on risk. a wellexecuted communications plan should be supported by a wellexecuted communications plan.
" In addition to standard project management monitoring and control capabilities, risk monitoring and  controlling requires a focus on the tools which will support its key success factors for tracking overall risk as  well as individual risks. ",risk monitoring and controlling requires a focus on the tools which will support its key success factors for tracking overall risk as well as individual risks. risk monitoring and controlling requires a focus on the tools which will support its key success factors.
" Reserves may have been allocated separately to cover timerelated and costrelated risks. Techniques  are required that allow the project manager to assess at any point in the project whether these provide the  required level of con dence in the success of the project.   Tools for managing time buffers should be closely integrated into the projects scheduling techniques,  whereas those for managing cost should be compatible with the  nancial practices. Tools are required to  identify trends and forecast future outcomes to determine whether the reserves will remain suf cient. Tools  are also required for tracking progress and spending in a consolidated manner.  55 2009 Project Management Institute. Practice Standard for Project Risk Management 9 CHAPTER 9  MONITOR AND CONTROL RISKS","techniques are required that allow the project manager to assess at any point in the project whether these provide the required level of con dence in the success of the project. tools for managing time buffers should be closely integrated into the projects scheduling techniques, while those for managing cost should be compatible with the nancial practices."
" Trigger conditions and the corresponding metrics are de ned during the Plan Risk Responses process.  Tools are required to evaluate and track these conditions against the project baseline or speci ed thresholds,  based on actual status. They can be chosen to provide information on risks related to the deliverables, such as  performance, as well as on projectrelated features, such as time and cost. ",tools are required to evaluate and track these conditions against the project baseline or speci ed thresholds. they can be chosen to provide information on risks related to the deliverables.
" Tools are required in order to determine, as the project progresses, whether the responses are having the  expected effect on the projects overall level of risk. ","tools are required to determine if the responses are having the expected effect on the projects overall level of risk. if the responses are having the expected effect on the projects overall level of risk, the tools are required to determine if the responses are having the expected effect."
" In order to monitor the quality of the execution of the riskrelated plans and processes, a set of quality  metrics such as degree of variation from the baseline, should be tracked and recorded. These metrics will  normally have been de ned in the risk management plan. ",a set of quality metrics should be tracked and recorded in order to monitor the quality of the execution of the risk related plans and processes. these metrics will normally have been de ned in the risk management plan.
" The  nal control action of risk monitoring and controlling is to record actual data for future use. This includes  all of the relevant information relating to risk management from start to  nish of the project. The de nition of  what this information must include, as well as the storage mechanism, should have been previously speci ed  in the risk management plan.   The goal is to ensure that the signi cant risk management information is recorded to provide concrete data  to the lessons learned process for inclusion in a lessons learned document, report, or other communication  vehicle. Typical information includes the following:   For each identi ed risk or type of risk, whether it occurred, and, if so, when and how often. All    relevant data should be recorded: impact, effectiveness of detection and of response, and any  unplanned, additional actions that were carried out.   Effectiveness of avoidance or exploitation actions.     Effectiveness of transfer and sharing actions.     Unexpected or undocumented risks which occurred and data about them.     Effectiveness of risk mitigation and enhancement actions.     Occurrence of accepted threats or opportunities.     Consolidated information should be provided on the level of effort expended. Costs and bene ts to the  project of risk management activities should also be provided.   This information will need to be archived and indexed in a manner that will facilitate retrieval for easy  review during the project, at closure, and for future projects, when the need arises.  57 2009 Project Management Institute. Practice Standard for Project Risk Management A  APPENDIX A   GUIDELINES FOR A PMI PRACTICE STANDARD ",risk monitoring and controlling is to record actual data for future use. this includes all relevant information relating to risk management from start to nish of the project. the goal is to ensure that the signi cant risk management information is recorded.
" A PMI practice standard is characterized as follows:    Each practice standard provides guidelines on the mechanics  of some signi cant process   that is relevant to a project manager.    A practice standard does not necessarily mirror the lifecycle phases of many projects; however, an    individual practice standard may be applicable to the completion of one or more phases within a  project.    A practice standard does not necessarily mirror the Knowledge Areas within     A Guide to the Project  Management Body of Knowledge , although an individual practice  standard will provide suf cient detail and background for one or more of the inputs, tools and  techniques, andor outputs. Therefore, practice standards are not required to use the name of any  Knowledge Area.    Each practice standard should include information on what the signi cant process is and does,    why it is signi cant, how to perform it, when it should be performed, and, if necessary for further  clari cation, who should perform it.    Each practice standard should include information that is accepted and applicable for most projects    most of the time within the project management community. Processes that are generally restricted or  applicable to one industry, country, or companion profession  may be included  as an appendix for informational purposes, rather than as part of the practice standard. With strong  support and evidence, an application areaspeci c process may be considered as an extension practice  standard, in the same manner as extensions to the  PMBOK   Guide Fourth Edition are considered.    Each practice standard will bene t from the inclusion of examples and templates. It is best when an    example or template includes a discussion of its strengths and weaknesses. A background description  may be necessary to put this discussion in the appropriate context. The examples should be aligned with  the relevant information in the standard or its appendix and placed in proximity to that information.   All practice standards shall be written in the same general style and format.     E ach practice standard project will be aligned with or reference other practice standards, as needed.     Each practice standard will be consistent with the     PMBOK   Guide Fourth Edition.   Each practice standard is intended to be more prescriptive than the     PMBOK   Guide Fourth Edition.   59 2009 Project Management Institute. Practice Standard for Project Risk Management B  APPENDIX B   EVOLUTION OF PMIS PRACTICE STANDARD FOR  PROJECT RISK MANAGEMENT ","practice standards are not required to use the name of any Knowledge Area. each practice standard should include information on what the signi cant process is and does, why it is signi cant, how to perform it, and, if necessary, who should perform it. each practice standard should include information that is accepted and applicable for most projects most of the time within the project management community."
" In early 2005, PMI began exploration for developing the  rst Practice Standard for Project Risk Management.  Focus would be placed on single project risk management for a single project rather than including programs  or portfolios of projects, with close coupling to the Project Risk Management section of  A Guide to the Project  Management Body of Knowledge     Third Edition. By April 20, 2006, the PMI Standards  Members Advisory Group  approved the following  nal charter for the standard, with Cynthia A. Berg,  PMP, as the Project Manager, and Dr. David Hulett as the Deputy Project Manager. The charter included the  following characteristics for the standard:    Provides information on Project Risk Management that includes information that is clear, complete,    relevant, and generally recognized as good practice on most projects most of the time.    Is consistent with the     PMBOK   Guide   Third Edition, expanding but not contradicting, the concepts  and techniques related to Project Risk Management, and keeps within the limits and practices of  Project Risk Management as described within Chapter 11 of the  PMBOK   Guide Third Edition.    Has been reviewed and updated by the Practice Standard for Project Risk Management    Project Team.    Is written for project management practitioners and other stakeholders of the project management    profession.   Describes the processes that are unique to Project Risk Management.      Includes in an appendix, examples and templates of speci c Project Risk Management processes,    tools, andor techniques addressed in the practice standard, with discussions of their strengths and  weaknesses, including background descriptions that put the relative strengths and weaknesses into  context.   Uses the     PMBOK   Guide   Third Edition Glossary as the starting point of its glossary, and does not  contain contradictions.   Uses a glossary term in the text without de nition or additional explanation.     Is aligned with and does not contradict other PMI standards.      Follows the PMI Style Guide, is written in North American English, translatable to PMI of cial    languages, and is sensitive to cultural issues.  60 B APPENDIX B 2009 Project Management Institute. Practice Standard for Project Risk Management   Can be approved as a PMI standard, which means that in addition to the content being acceptable,    the process for selecting team members and soliciting and responding to comments on the product  must be open and inclusive. ","the rst Practice Standard for Project Risk Management can be approved as a PMI standard. the standard provides information on Project Risk Management that is clear, complete, relevant, and generally recognized as good practice on most projects most of the time. Describes the processes that are unique to Project Risk Management."
" In recognition that risk management is not practiced well on many projects, the project team set out to  identify practices that are viewed as best practices, as those are understood, and applied in most successfully  managed projects most of the time.   The project core team was initially formed in the fall of 2005 and consisted of; Dr. David Hillson PMP, Kik  Piney, and Kris Persun. ","the project team set out to identify practices that are viewed as best practices, as those are understood, and applied in most successfully managed projects most of the time."
" During the time the project was chartered, the  PMBOK   Guide   Fourth Edition was commissioned. As a  result, the charter of the Practice Standard for Project Risk Management was expanded to be consistent and  noncontradictory with that standard. ",the PMBOK Guide Fourth Edition was commissioned during the time the project was chartered. the charter was expanded to be consistent and noncontradictory with that standard.
" The standard was submitted as an exposure draft in the winter of 2007, and exposed on 23 March 2008.  There were 849 comments. The teams comment acceptance rate  was 57. The PMI Standards Manager submitted the resultant  nal draft, with the  concurrence of the PMI Standards  Program MAG, to the PMI Standards Program Consensus Body for of cial  ballot on 27 March 2009 . Twentyeight members of the PMI Standards Program Consensus Body agreed to  participate in the ballot of the Practice Standard for Project Risk Management. Those not participating included  the PM and Deputy PM for this standard because their participation was considered a con ict of interest. The  balloting period was closed on 25 April 2009 with 23 ballots returned. Consensus Body voting results were  as follows: 22 af rmative and 1 af rmative with comment. The af rmative with comment pertained to future  revisions of the standard and possible improvements to the comment adjudication process. 61 2009 Project Management Institute. Practice Standard for Project Risk Management C  APPENDIX C   CONTRIBUTORS AND REVIEWERS OF THE  PRACTICE STANDARD  FOR PROJECT RISK MANAGEMENT   This appendix lists, alphabetically within groupings, those individuals who have contributed to the  development and production of the  Practice Standard for Project Risk Management . No simple list or even  multiple lists can adequately convey all the contributions of those who have volunteered to develop the  Practice  Standard for Project Risk Management .   The Project Management Institute is grateful to all of these individuals for their support and acknowledges  their contributions to the project management profession. ",the standard was submitted as an exposure draft in the winter of 2007 and exposed on 23 March 2008. there were 849 comments. the teams comment acceptance rate was 57.
" The following individuals served as members, were contributors of text or concepts, and served as leaders  within the Project Core Team :   Cynthia Ann Berg, PhD, PMP Project Manager   David T. Hulett, PhD, Deputy Project Manager   Dr. David Hillson FRSA, FIRM   Kristine Persun, MA, PMP   Crispin Kik Piney, BSc, PMP   Kristin L. Vitello, Standards Project Specialist   Nan Wolfslayer, AStd, Standards Compliance Specialist ","Cynthia Ann Berg, PhD, PMP Project Manager David T. Hulett, PhD, Deputy Project Manager David Hillson FRSA, FIRM Kristine Persun, MA, PMP Crispin Kik Piney, BSc, PMP Kristin L. Vitello, Standards Compliance Specialist Nan Wolfslayer, AStd."
" In addition to the members of the Project Core Team and the SubTeam Leaders, the following individuals  provided signi cant input or concepts:   Jeannette Horne  62 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C ",the following individuals provided signi cant input or concepts. Jeannette Horne 62 2009 Project Management Institute. the following individuals provided signi cant input.
" In addition to those listed above, the following individuals participated on the  Practice Standard for Project  Risk Management Project Team.  Ahmad Khairiri Abdul Ghani, PE, MBA Archie Addo, PMP, PhD Priumvada Agarwal, PMP Upinder Aggarwal, PMP Asif M Ahmad, PMP Amr Nabil Ahmed, PMP, MSc Jose Correia Alberto, MEng, CITP Salvador Alvarez, PMP Chukwudi Anakudo, PMP Ananthalakshmi Anbuselvan Jagathnarayanan Angyan, FIE, CE Rodrigo Ariza Pedro Carlos Auler Michael Avery Sai Swaminathan Baba Subramanyan, BE, PMP Teddy Alton Barnes Gail Ellen Bartz David Benfell Paul S. Bennett Douglas A. Berry, PMP Mamoun Besaiso, CE Timothy Birus Dave M. Bond Kiron Bondale Blaine W. Boxwell, MBA, PMP Carlos Eduardo M. F. Braga, PMP Valerie Claire Brasse, PMP Joan Browne, BSc, PMP Adrian Busch, PMP, MBA John J. Byrne, DBA, PMP C. S. Rajan, PMP Eduardo Cadena Franco Caron William G. Chadick, DM, PMP Souray Chakraborty Harshavardhan Chakravarti, BS Shanthi Chandrasekar Noman Zafar Chaudry, PE, PMP Vijay Chauhan, MBA, PMP Subrahmanyam Chinta, VN, PMP Carolyn Chomik Joan F. Church Glenda Clark Lorri Cline, MBA, PMP John D. Corless, PhD Anthony R. Corridore, PMP Coughlin, Philip Nancy A Cygan, MS, PMP Marco Aurlio Danelon, PMP Karel de Bakker, MA, PMP Thijs De Jong Alfredo Del Cano Peter B. de Zouza Mello, SPS, PMP Cheryl L. Dennis Raveesh Dewan, PMP, MBA Ricardo Jose do Rego Barros, PMP John David Driessnack Matt Dubois Jason Eddinger, PMP Maliha Elahi, MSc, PMP Norman Epstein, PMP, MBA Joel Erickson Rodrigo Fernandes Espirito Santo Giovanni Fanduiz Genevive Farag, PMP Mario Fiallo Carranco Leslie Fiedler Eduardo Fleischer 63 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C Kirby Fortenberry, PMP Lynn Francis Michelle L. Franklin, PMP Tracy Fritz Andrew Fry, CMA, PMP Kamlesh Gandhi, PMP, PQs Nlio Gaspar, MSc, PMP Tina Gilrein, PMP, MPM Silvio Hernan Giraldo, PMP, CBCP Vikram Godboley Vivek Goel, PMP Francisco Gomez Serge Goncharov, PMP, PgMP Ronald R.Goodwin, PMP Priyesh Gopalakrishnan Robert Grant Steve Grunewald Denise M. Guerin Sanjay Gupta, PMP Cristine Gusmo, PhD Heidi Ann Hahn, PhD, PMP Laurie Hall Robert W. Harding, PMP Balasubramaniam Hari Gopal, FCA, PMP Chandrashekar Hassan Henry Hattenrath David A. Haugh, PMP John Hendricks, MS, PMP Arnold A. Hill, PMP Rosemarie A. Hilt, MBA, PMP George Hopman, PhD, PE Sean Hugo John Humphrey Walter Hussey, PMP George Jackelen Ramona Jackson Dhanojkumar Jadhav Ayo Jemiri, MS, PMP Stephen Michael Johns Kenneth E. Johnson, MBA, PMP Valeri Jonas, BA , Oxon Roy Joslin Krishna Kallapur, PMP Rita Kaul Mariya Kehoe Rameshchandra B. Ketharaju Amir Ahmed Kheir Behrad Kiafar Konstantinos Kirytopoulos, PhD, PMP Ilkka Koskinen, MSc, PMP Alejandro Kowiendl R.V. Krishna, MBA, CAPM Jeyakumar Krishamoorthy Lars Kruse Polisetty Veera Subrahmanya Kumar, CISSP, CISA Sasi Kumar, PMP Vijaya Kurada Elise Labre David Larson Wei Lee, PMP Henry Lie Guilherme Pereira Lima, PMP Bernard Lindekens Renato Loureno da Silva, MBA, PMP Vasantha R Manda, PMP, CISSP Edmond Matevosian, PE, PMP Rivalino Matias Jr., PhD, MSc Pea Torres Nestor Mauricio, PMP JME Maxwell MBA, PMP Alvis McGinty Traci L. McIntosh, PMP Ramesh Menon Concepcion Merino Philip Mileham 64 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C  Waqar Ahmed Mirza Shipra Mitra Siddique Mohammed Guillermo Molina Leon Sergio Monaco, MCTS Elizabeth Mejia Montanez Flavio Montenegro, PMP Mohammad Moradi Linda L. Morgan, MSIS, PMP Rick A. Morris, MPM, PMP Tania Morris MPM, PMP Saradhi Motamarri, MTech, PMP Mark A. Munster PMP, CISA Ronan J. Murphy, CEng, MBA Carlo Muzzarelli Linda Nedney, PMP Rob Nelson, PMP Vaman G. Nene Ann Nguyen, PMP Naema Nunnery Jillian OConnell, MBA, PMP Daryl K. Ono Armin Oppitz, PMP Daniel Pacholski, PMP Abhimanyu Parasher, MBA, PMP David M. Patrick Scott Patton Mridul Paul  Chris Payne, PMP Sameer K Penakalapati, ME, PMP Alexandre Perali Sharon D. PerezSuarez Lavinia Petcu, CAPM Bruce Petro, PMP Krista Lynn Pizzurro Roberto Pons, PMP Carl Pro Julie R. Purcell, PMP, MCSE Sridhar R Pydah, MS, PMP Vijaya Raman, PMP Stephen F. Randolph, PMBA PMP Jennifer Read, PMP, CMC Caroline Robison, PMP Fabiano Rollim, PMP, PgMP Edward Rowe Don Ruchkall Joseph Sabatini Fawzia Salahuddin MCS, PMP Salem Mahaboob Saliha Sherriff, MBA, PMP Sivakumar Sanyasi Rudolf Schenker Marcio Schmidt, PMP Bill Schneider Michael J. Scott, PMP Ravi Shanker, MBA, PMP Viresh C Shah, MBA, PMP Jeff Shore Evandro Silva Maria Isabel Silva Sumano, MBA, PMP Michael D. Simants Vivek Sivakumar, CAPM Kathy J. Slater, PMP Shaun Smith Linda E. Solorzano, BS, PMP Mauro Sotille, PMP Mandayam Sriram, Meng, PMP Tournis Stamatis, PhD PMP Fred Stein Roeland Stellingwerff Jim Stewart, PMP Prasanna V Sugavanam, PMP Ramakrishnan Sundararaman Matthias Svane, MSc, PMP Amin Tabatabayi, MBA, PMP 65 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C Venerando Tangco, PMP, CSM Suresh Kumar Tata, PMP, ACS  Patel Tejesh, PMP Sarma Tekumalla, PMP, MBA  Jacqueline Teo Michelle Tessier  Gangesh Thakur, CPIM, PMP Vadivelu Thanicachalam Ing. Biagio Tramontana, PMP Subhash B. Tuladhar, PMP Ruth H. Vandegrift Sri Pavan Vardan Vemu Christoph Verschuere, Ir, PMP, CISM  Marianne Viegas Yiannis Vithynos, PMP, MSc Steve Waddell Paul Waits Jr., PMP, CPM KuanHsun Wang, PMP Nancy Watanabe James Wattnem Lisa L. Winchester, PMP Karen L. Woodruff, RN CFNP, PMP James Yang, PMP, MBA Luay M. Zakaria, PMP Xiaojun Zhou",the following individuals participated on the Practice Standard for Project Risk Management Project Team. the following individuals participated on the Practice Standard for Project Risk Management Project Team. the following individuals participated on the Practice Standard for Project Risk Management Project Team.
" In addition to team members, the following individuals provided recommendations for improving the  Exposure Draft of the  Practice Standard for Project Risk Management :  Marcos Abreu Billa S. Dahaby, MS, ISSI Jos R. Alcal G., PMP Gwendolyn Darby Mohd AlKuwari Anirban Das, M.Tech, PMP Ondiappan Arivazhagan Ari, PMP, PMIRMP Terrell G. Dorn, PE Randall Ash, PMP Peggy Drew, MBA, PMP Imad Babbili Norberto Figuerola, PMP Ernest Baker, PMP Robert A. Dudley, PMP, PMISP Jerry Ball, PMP Scott D. Freauf, PMP, IPMAD Eng. Dimah M. Barakat, PMP, PMIRMP Mark Gabel, MSCE, PE Suvransu Basu, BE Oliver D. Gildersleeve, Jr., PMP, MCTS Susanne Bode Kurt J. Harris, PMP David J. Boschma PMP B.E. Jame Healy Sergio A. Calvo Abarca, PMP Walter Hekala, CQA, PMP Marlene Carnevali Shirley Hinton, PMP Bruce C. Chadbourne, PMP, PgMP Felicia Elizabeth Hong, PMP, MBA Steve Charters MAPM MSc Manuel Huerta Tomio Chiba, PMP Kristian Hurt Patricia Cohen Christoph Werner Jacobi Wendra Collet, MPM Ashok Jain, PMP, ITIL 66 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C  Syed Asad Jawed C.C.E Dirk Pons Ramesh D. Kandadai, member RSIG Carl L. Pritchard, PMP, PMIRMP Kenneth P. Katz PMP Javier Pumar, PMP Rameshchandra Ketharaju Polisetty Veera Subrahmanya Kumar, PMP, PMIRMP Gene G. Kuki, PMP Chandrasekar Ramakrishnan PMP, CSQA Abhilash T. Kuzhikat, PMP, ITIL Ivan D. Ramirez R., PMP Peter Lierni Alexander Revin, PMP Christopher E. Maddox, PMP Pedro C. Ribeiro, MBA, PMP Anthony Mampilly, PMP, COP Bruce P. Robison Srinivas Mandgi, PMP, SAP HR Sadegh Roozbehi Ammar W. Mango, PgMP, PMP Tarun Kumar Roy Larry Marks Balaji Selvaraju Andrew McGlade, PMP Hilary Shreter, MBA, PMP Patrick K. Morrow, PMP Fay Simcock MSc, PMP Rajesh Musaliyath Rebecca Spohn, PMP, CQE Eric M. Myers, PMP Pranay Srivastava, PMP, CSM Mustapha NAFA, MPM, PMP Joyce Statz, PhD, PMP Patrick OFarrell, PMP, MBA Massimo Torre, PhD, PMP Lambert I. Ofoegbu, PMP, PMIRMP Fredrick G. Trussell, PMP Kazuhiko Okubo, PMP, PE Frederick Trussell Karthikeyan Ovuraj Kevin R. Wegryn, PMP, CPM Nancy Perosio, PMP William. E. Wencel, PMP Rafael Pia Quintal Alexey D. Zimin, PME",the following individuals provided recommendations for improving the Exposure Draft of the Practice Standard for Project Risk Management. the following individuals provided recommendations for improving the Exposure Draft of the Practice Standard for Project Risk Management.
" The following individuals served as members of the PMI Standards Member Advisory Group  during  development of the  Practice Standard for Project Risk Management :  Julia M. Bednar, PMP Chris Cartwright, MPM, PMP Douglas Clark Terry CookeDavies, PhD FCMI Carol Holliday, MA, PMP Deborah OBray, CIM   Asbjrn Rolstads, PhD, Ing David W. Ross, PMP, PgMP Paul E. Shaltry, PMP David Violette, MPM, PMP John Zlockie, MBA, PMP 67 2009 Project Management Institute. Practice Standard for Project Risk Management C APPENDIX C",the following individuals served as members of the PMI Standards Member Advisory Group during development of the Practice Standard for Project Risk Management. the following individuals served as members of the PMI Standards Member Advisory Group.
" Special mention is due to the following employees of PMI:   Steven L. Fahrenkrog, PMP, VP Regional Development   Amanda Freitick, Standards Program Administrator   Ruth Anne Guerrero, MBA, PMP, Former Standards Manager   Donn Greenberg, Manager, Publications   Roberta Storer, Product Editor   Barbara Walsh, CAPM, Publications Planner    69 D 2009 Project Management Institute. Practice Standard for Project Risk Management  APPENDIX D   TOOLS, TECHNIQUES AND TEMPLATES FOR  PROJECT RISK MANAGEMENT   Many tools and techniques have been developed and are in widespread use to support the Project Risk  Management processes. The most commonly used of these are listed in the following tables along with their  strengths, weaknesses, and critical success factors. Where a technique can be used in more than one Project  Risk Management process, it is described in detail in the section associated with the main process that it  supports, and referred to as necessary for other processes to which it can be of use. Examples and templates  shown after each table provide illustrations of the most common and good practice uses of these tools and  techniques. This information is not intended to explain the tools and techniques but to list them with certain  important characteristics. Those who are interested in learning more are encouraged to seek other sources  such as handbooks, textbooks, or courses in project risk management. ","the most common and good practice uses of these tools and techniques are listed in the following tables along with their strengths, weaknesses, and critical success factors. the most commonly used of these are listed in the following tables along with their strengths, weaknesses, and critical success factors."
Risk Management Planning    Plan Risk Management de nes the approach to be followed for managing the risks throughout the lifespan  of the corresponding project. ,Risk Management plan Risk Management de nes the approach to be followed for managing the risks throughout the lifespan of the corresponding project. risk management de nes the approach to be followed for managing the risks throughout the lifespan of the corresponding project.
